Timestep,L.ASIS,L.Ankle,L.Biceps,L.Clavicle,L.Elbow,L.Forearm,L.Heel,L.Knee,L.MT5,L.PSIS,L.SH1,L.SH2,L.SH3,L.Shoulder,L.TH1,L.TH2,L.TH3,L.TH4,L.Toe,L.Wrist,R.ASIS,R.Ankle,R.Biceps,R.Clavicle,R.Elbow,R.Forearm,R.Heel,R.Knee,R.MT5,R.PSIS,R.SH1,R.SH2,R.SH3,R.SH4,R.Shoulder,R.TH1,R.TH2,R.TH3,R.Toe,R.Wrist,S2
All Timesteps RMSE,0.0226862,0.00801907,0.00245533,0.00578003,0.00935183,0.00193214,0.0140306,0.0147822,0.0116254,0.00671148,0.00459379,0.00630845,0.00676693,0.0172843,0.0159908,0.0131743,0.0140949,0.0111751,0.020715,0.0116632,0.019138,0.0106861,0.00311177,0.00709202,0.00355164,0.00303124,0.0170862,0.00868009,0.0204379,0.00595852,0.00435755,0.00528137,0.0111304,0.0101732,0.010595,0.0150457,0.0134991,0.0106059,0.0299917,0.00211261,0.00915954
0,0.0256222,0.00280057,0.00146431,0.00620762,0.00884238,0.00103452,0.00388722,0.0138398,0.00603986,0.0021996,0.0033864,0.00535543,0.0058259,0.0160102,0.00292724,0.00643795,0.00635056,0.00840335,0.00506067,0.012265,0.0173121,0.00929246,0.00508469,0.00639341,0.000223378,0.00817244,0.027667,0.00513549,0.0297495,0.00259282,0.00562991,0.0088013,0.0174344,0.0168016,0.0102064,0.0127975,0.0110787,0.0119241,0.0534075,0.000315874,0.0102898
1,0.0256314,0.00243687,0.00111236,0.00630472,0.00904477,0.00126044,0.00371205,0.0137924,0.00605577,0.00179183,0.00269135,0.00488685,0.00496585,0.0157864,0.00295682,0.00557178,0.00676851,0.00776421,0.00526469,0.0122102,0.0174889,0.00845187,0.00505035,0.00651755,0.000214243,0.00815898,0.0264967,0.00496826,0.029885,0.00307199,0.00497216,0.00748972,0.0175293,0.0172172,0.0100338,0.0124003,0.0105023,0.0108998,0.0534318,0.000252977,0.0103199
2,0.0254794,0.00202124,0.00067717,0.0063282,0.00921653,0.00124711,0.00412179,0.0138842,0.00628503,0.00128669,0.00238681,0.00420951,0.00420346,0.0156897,0.00338628,0.00498201,0.00675017,0.0073624,0.00611888,0.012137,0.0178035,0.00759664,0.00502332,0.00650106,0.000158323,0.00825731,0.0250838,0.00501147,0.0293887,0.00366592,0.00449622,0.00635418,0.0178961,0.0174743,0.00980415,0.0122217,0.0100073,0.0104806,0.0527007,0.000269359,0.0103668
3,0.0252788,0.0017453,0.000293709,0.00640108,0.00942961,0.00104677,0.00479713,0.0139809,0.00663431,0.000955811,0.00218801,0.00371836,0.00372857,0.0156845,0.00406073,0.00465933,0.00650627,0.00716337,0.00719084,0.0121253,0.0181855,0.00640076,0.00499116,0.00650934,0.000219666,0.00829259,0.0233272,0.00447468,0.0283358,0.00416428,0.00409312,0.00499243,0.0182616,0.017487,0.00965774,0.0121565,0.0094325,0.0100607,0.0513358,0.000289841,0.0104239
4,0.0250527,0.00157043,0.00035382,0.00657357,0.00970335,0.000983377,0.00524841,0.0139873,0.00711359,0.000882324,0.00210407,0.00337047,0.00333829,0.0157095,0.00503726,0.00460084,0.00683873,0.00718737,0.00772345,0.0121499,0.0184705,0.00491891,0.00490186,0.00654066,0.000381767,0.00829531,0.0211282,0.00372511,0.0271853,0.00468048,0.00377391,0.00372407,0.0185999,0.0172649,0.00956795,0.0123321,0.00912627,0.0101682,0.0495297,0.0002513,0.0105868
5,0.0248134,0.00151342,0.000780812,0.00679302,0.00993363,0.000960888,0.00578977,0.0141067,0.00746881,0.0011111,0.00223753,0.00333142,0.00322936,0.0158042,0.00572602,0.00459034,0.00744011,0.00720078,0.00864173,0.0121267,0.0188455,0.00370756,0.00471888,0.00656293,0.000350656,0.00804506,0.0188954,0.00322306,0.0258222,0.00530935,0.00376165,0.00355379,0.0186635,0.0166996,0.00949883,0.0125856,0.00935744,0.0111867,0.047268,0.00027296,0.0108589
6,0.0247946,0.00134214,0.00124194,0.00698759,0.0101728,0.000828554,0.00602137,0.0142896,0.00785297,0.0013628,0.00228302,0.00317797,0.0029941,0.0159585,0.00641374,0.00470638,0.00799813,0.00725501,0.00898354,0.0121031,0.0190916,0.00256751,0.00443165,0.00666017,0.00028555,0.00808664,0.0168717,0.00303127,0.0247002,0.0058833,0.00372679,0.00433102,0.0184618,0.0160881,0.00948511,0.0133573,0.0106059,0.0124865,0.0448347,0.000249248,0.0112412
7,0.0248706,0.0011908,0.00157003,0.00721735,0.0103609,0.000532812,0.00632707,0.014563,0.0081866,0.00165261,0.00238056,0.00318931,0.00290069,0.0161667,0.0072624,0.0049397,0.00818202,0.007332,0.00966713,0.0120462,0.019373,0.00156843,0.00408507,0.0067825,0.000222488,0.00794651,0.0154524,0.00321933,0.0239471,0.00635593,0.00381217,0.00478856,0.017922,0.0154896,0.00955909,0.0142626,0.0123698,0.013616,0.0427399,0.000283175,0.0115803
8,0.0247067,0.00122522,0.00183815,0.00740112,0.0104988,0.000272691,0.00722666,0.0148475,0.0086929,0.0022873,0.0025093,0.00359888,0.00315915,0.016383,0.00782256,0.00499534,0.00839479,0.00745847,0.0106879,0.0119711,0.0197784,0.000891116,0.0037183,0.00680195,0.000294804,0.00782112,0.0144066,0.00354345,0.0231536,0.00682846,0.00402959,0.00507021,0.0168751,0.0147978,0.00958099,0.0152874,0.0140828,0.01459,0.041304,0.000347351,0.0119553
